cname,cnid,kyno,jqno,createuser,lname,lid,lacsid,cellidbid,xhqd,nid,yystype,xhtype,isms,slong,slat,cdate,mlac,mcell,hlac,hcell,bzinfo,no3,no4,islastgps,baidujd,baiduwd,cellidlong,bztype
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3333333,2126e37f-7baf-4adf-a338-38336fc49a4f,3942,4977,2,15,电信,3,1,117.083844,36.672901,2016/5/15 2:06, , ,3942,4977, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21254,40451,-47, ,联通,4,1,117.083844,36.672901,2016/5/15 2:06, , ,5306,3.27E+06, ,0,0,1,117.090368,36.678785,52862467,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54018,47781,-85, ,联通,3,1,117.083844,36.672901,2016/5/15 2:06, , ,D302,0702BAA5, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,49925,-69, ,移动,4,1,117.083844,36.672901,2016/5/15 2:06, , ,5310,0577C305, ,0,0,1,117.090368,36.678785,91734789,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54292,22171,-88, ,移动,3,1,117.083844,36.672901,2016/5/15 2:06, , ,D414,0C3D569B, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,25086,-85, ,联通,2,1,117.083844,36.672901,2016/5/15 2:06, , ,1719,000061FE, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,25412, , ,联通,2,0,117.083844,36.672901,2016/5/15 2:06,5913,25086,1719,6344, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,11852, , ,联通,2,0,117.083844,36.672901,2016/5/15 2:06,5913,25086,1719,00002E4C, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,35916, , ,联通,2,0,117.083844,36.672901,2016/5/15 2:06,5913,25086,1719,00008C4C, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,11853, , ,联通,2,0,117.083844,36.672901,2016/5/15 2:06,5913,25086,1719,00002E4D, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,36563,-84, ,移动,2,1,117.083844,36.672901,2016/5/15 2:06, , ,5310,00008ED3, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,37911, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,5310,9417, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21438,17749, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,53BE,4555, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,46461, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,5310,0000B57D, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,25347,9292, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,6303,0000244C, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21438,17741, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,53BE,0000454D, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21439,52192, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,53BF,0000CBE0, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54292,22173,-82, ,移动,3,1,117.083844,36.672901,2016/5/15 2:06, , ,D414,0C3D569D, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,36562, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,5310,00008ED2, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54018,18533,-81, ,联通,3,1,117.083844,36.672901,2016/5/15 2:06, , ,D302,7024865, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,36569, , ,移动,2,0,117.083844,36.672901,2016/5/15 2:06,21264,36563,5310,00008ED9, ,0,0,1,117.090368,36.678785, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,942,535,2,5,电信,3,1,117.083821,36.672908,2016/5/15 2:06, , ,942,535, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21254,40451,-49, ,联通,4,1,117.083821,36.672908,2016/5/15 2:06, , ,5306,3.27E+06, ,0,0,1,117.090341,36.678793,52862467,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54018,44149,-77, ,联通,3,1,117.083821,36.672908,2016/5/15 2:06, , ,D302,0702AC75, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,49925,-57, ,移动,4,1,117.083821,36.672908,2016/5/15 2:06, , ,5310,0577C305, ,0,0,1,117.090341,36.678793,91734789,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54292,22173,-70, ,移动,3,1,117.083821,36.672908,2016/5/15 2:06, , ,D414,0C3D569D, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,25086,-72, ,联通,2,1,117.083821,36.672908,2016/5/15 2:06, , ,1719,000061FE, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,11852, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,00002E4C, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,25412, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,6344, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,35916, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,00008C4C, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,11853, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,00002E4D, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,36563,-75, ,移动,2,1,117.083821,36.672908,2016/5/15 2:06, , ,5310,00008ED3, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,37911, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,5310,9417, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,25347,9292, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,6303,0000244C, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21438,17749, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,53BE,4555, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,46461, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,5310,0000B57D, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21438,17741, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,53BE,0000454D, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,36569, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,5310,00008ED9, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21254,22274,-55, ,联通,4,1,117.083821,36.672908,2016/5/15 2:06, , ,5306,3285702, ,0,0,1,117.090341,36.678793,52975362,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,14556, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,000038DC, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21439,52192, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,53BF,0000CBE0, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,3942,4977,2,15,电信,3,1,117.083821,36.672908,2016/5/15 2:06, , ,3942,4977, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54018,18533,-79, ,联通,3,1,117.083821,36.672908,2016/5/15 2:06, , ,D302,7024865, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,25085, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,000061FD, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,49926,-55, ,移动,4,1,117.083821,36.672908,2016/5/15 2:06, , ,5310,0577C306, ,0,0,1,117.090341,36.678793,91734790,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21254,22275,-56, ,联通,4,1,117.083821,36.672908,2016/5/15 2:06, , ,5306,3285703, ,0,0,1,117.090341,36.678793,52975363,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,36562, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,5310,00008ED2, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,25347,19071, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,6303,00004A7F, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,942,535,2,5,电信,3,1,117.083821,36.672908,2016/5/15 2:06, , ,942,535, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21254,40451,-49, ,联通,4,1,117.083821,36.672908,2016/5/15 2:06, , ,5306,3.27E+06, ,0,0,1,117.090341,36.678793,52862467,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54018,44149,-77, ,联通,3,1,117.083821,36.672908,2016/5/15 2:06, , ,D302,0702AC75, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,49925,-57, ,移动,4,1,117.083821,36.672908,2016/5/15 2:06, , ,5310,0577C305, ,0,0,1,117.090341,36.678793,91734789,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,54292,22173,-70, ,移动,3,1,117.083821,36.672908,2016/5/15 2:06, , ,D414,0C3D569D, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,25086,-72, ,联通,2,1,117.083821,36.672908,2016/5/15 2:06, , ,1719,000061FE, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,11852, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,00002E4C, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,25412, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,6344, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,35916, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,00008C4C, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,5913,11853, , ,联通,2,0,117.083821,36.672908,2016/5/15 2:06,5913,25086,1719,00002E4D, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,36563,-75, ,移动,2,1,117.083821,36.672908,2016/5/15 2:06, , ,5310,00008ED3, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21264,37911, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,5310,9417, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,25347,9292, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,6303,0000244C, ,0,0,1,117.090341,36.678793, ,0
1,95009018-1ea3-4245-aed2-fb5c456dc7f0,,,111111,3,2126e37f-7baf-4adf-a338-38336fc49a4f,21438,17749, , ,移动,2,0,117.083821,36.672908,2016/5/15 2:06,21264,36563,53BE,4555, ,0,0,1,117.090341,36.678793, ,0
